threshold,accuracy,precision,recall,f1_score,false_positive,false_negative
0.2,0.7822966507177034,0.6925925925925925,0.958974358974359,0.8043010752688172,83,8
0.25,0.8110047846889952,0.7301587301587301,0.9435897435897436,0.8232662192393736,68,11
0.3,0.8397129186602871,0.7735042735042735,0.9282051282051282,0.8438228438228438,53,14
0.35,0.868421052631579,0.8153153153153153,0.9282051282051282,0.86810551558753,41,14
0.39999999999999997,0.8899521531100478,0.8564593301435407,0.9179487179487179,0.8861386138613861,30,16
0.44999999999999996,0.8971291866028708,0.8725490196078431,0.9128205128205128,0.8922305764411027,26,17
0.49999999999999994,0.9066985645933014,0.8939393939393939,0.9076923076923077,0.9007633587786259,21,18
0.5499999999999999,0.8947368421052632,0.9037433155080213,0.8666666666666667,0.8848167539267016,18,26
0.5999999999999999,0.8803827751196173,0.9096045197740112,0.8256410256410256,0.8655913978494624,16,34
0.6499999999999999,0.8779904306220095,0.9337349397590361,0.7948717948717948,0.8587257617728532,11,40
0.7,0.854066985645933,0.9466666666666667,0.7282051282051282,0.8231884057971014,8,53
0.7499999999999998,0.8301435406698564,0.9492753623188406,0.6717948717948717,0.7867867867867868,7,64
0.7999999999999998,0.8229665071770335,0.9689922480620154,0.6410256410256411,0.7716049382716049,4,70
