,precision,recall,f1-score,support
Non-Obesity,0.9181818181818182,0.905829596412556,0.9119638826185101,223.0
Obesity,0.8939393939393939,0.9076923076923077,0.9007633587786259,195.0
accuracy,0.9066985645933014,0.9066985645933014,0.9066985645933014,0.9066985645933014
macro avg,0.906060606060606,0.9067609520524318,0.906363620698568,418.0
weighted avg,0.9068725532840365,0.9066985645933014,0.9067387578606694,418.0
